"","20210113_30102534541221-01_P0091-10 LUNG D3 NMC2 30ug.ml_10.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210108_P0090_D0_Control(2).RCC","20210108_P0090_D0_Control(1).RCC","20210108_P0090_D0_Control(3).RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC","20210108_P0090_D3_NMC2_100ugml(1).RCC","20210108_P0090_D3_NMC2_30ugml(1).RCC","20210108_P0090_D3_IFNg_100ngml(1).RCC","20210108_P0090_D3_IgG1_100ugml(1).RCC"
"C1QA - mRNA",40,35,53,44,39,70,332,253,175,17,18,19,6,13,16,12,16,18,15,54,8,41,61,25,21,38,28,56,22,21
"S100A9 - mRNA",16,14,55,26,30,48,308,274,174,26,28,17,5,7,14,10,9,19,5,59,17,25,51,19,13,53,60,96,12,17
"MS4A4A - mRNA",39,33,32,40,38,61,294,311,214,7,23,20,8,19,10,6,6,11,10,55,16,21,58,31,42,35,28,24,19,19
"VCAN - mRNA",18,15,6,16,21,27,318,247,226,6,4,5,7,12,9,9,2,10,8,4,20,8,52,17,17,34,21,38,17,12
"CSF1R - mRNA",27,28,19,18,22,31,313,277,206,3,7,19,8,5,13,16,9,9,8,19,14,23,34,12,17,35,45,22,10,19
"ENTPD1 - mRNA",104,74,58,79,57,96,282,168,167,26,28,29,24,34,25,27,7,19,29,72,20,26,87,61,88,69,45,64,44,32
"GIMAP4 - mRNA",82,50,39,39,36,107,239,166,199,12,19,9,12,18,16,13,1,16,21,32,23,22,91,53,63,48,38,80,27,28
"ITGB2 - mRNA",56,41,57,52,47,68,243,239,196,33,51,50,23,18,37,27,27,30,13,97,24,85,100,35,25,72,102,51,23,48
"CD68 - mRNA",34,21,53,56,45,65,205,183,155,31,47,28,17,8,21,13,12,27,11,123,15,54,118,32,20,55,56,62,26,27
"HLA-DMB - mRNA",35,26,68,25,39,69,239,181,140,14,39,24,10,11,12,14,16,23,13,67,16,49,65,49,31,40,31,67,29,12
"BCL2L1 - mRNA",70,53,71,45,73,141,239,196,176,40,26,18,17,32,15,21,20,33,16,65,34,45,150,38,48,70,62,88,55,37
"GLUD1 - mRNA",49,43,78,61,79,135,213,156,186,43,29,18,19,25,15,14,16,26,25,96,24,38,170,44,40,69,44,121,32,32
"DUSP5 - mRNA",18,11,64,47,61,131,223,152,210,26,25,25,8,8,8,14,16,13,17,54,21,37,130,31,17,60,39,82,25,23
"FCGR3A/B - mRNA",45,36,53,70,64,125,213,195,158,27,30,24,9,17,13,21,6,26,36,58,18,35,101,36,45,48,33,75,28,21
"CCND1 - mRNA",27,26,153,38,49,83,246,180,154,41,46,27,10,6,11,19,8,32,14,89,20,27,158,44,23,65,41,64,37,26
"IFI6 - mRNA",32,28,118,44,65,124,296,217,223,18,39,22,10,10,16,38,25,19,15,48,14,65,129,34,15,46,32,52,20,26
"ICAM1 - mRNA",21,15,145,26,64,80,237,220,234,21,44,35,11,11,16,17,31,25,9,53,29,68,179,63,10,70,34,93,15,16
"TYMP - mRNA",49,35,141,48,60,123,248,237,204,28,84,37,8,17,23,25,31,36,18,66,16,76,136,57,37,84,64,93,35,37
"MMP7 - mRNA",20,25,30,34,32,78,455,276,351,57,27,18,26,5,8,18,4,52,14,368,25,25,96,18,12,23,21,48,9,14
"FCGR2A - mRNA",43,35,33,40,36,76,470,400,305,14,24,11,11,24,11,8,8,20,15,41,15,26,68,32,47,55,53,65,28,33
"CXCL14 - mRNA",75,59,55,46,45,86,540,412,373,23,12,35,19,18,17,11,30,15,14,32,26,50,86,49,46,51,43,69,32,28
"CCL4 - mRNA",46,37,60,79,50,95,462,416,381,28,15,26,15,8,14,12,7,19,34,87,17,29,101,38,40,54,23,91,23,17
"HLA-DQB1 - mRNA",21,21,9,11,21,22,527,461,347,5,3,1,2,3,7,7,2,3,4,4,5,7,47,23,13,33,30,21,18,9
"CD163 - mRNA",30,30,26,22,34,48,510,570,378,14,12,20,11,9,17,14,5,13,8,26,14,18,55,23,30,41,36,31,27,20
"HLA-E - mRNA",26,28,223,44,58,89,600,474,510,27,49,60,12,12,22,23,30,25,18,92,24,106,130,46,12,68,40,98,29,23
"TNFSF10 - mRNA",23,9,162,32,53,109,525,374,391,24,16,26,13,9,12,18,20,12,12,70,16,33,156,66,13,65,34,109,39,17
"CXCR4 - mRNA",28,25,35,33,91,135,547,392,535,22,13,17,8,9,16,18,6,15,12,48,26,36,186,41,25,103,57,155,30,28
"PECAM1 - mRNA",31,18,24,36,28,60,579,359,529,10,15,16,5,11,9,12,2,13,20,68,12,19,60,22,25,36,26,46,14,22
"SGK1 - mRNA",70,50,64,40,54,91,574,424,493,45,32,44,17,29,33,22,18,31,20,66,29,84,100,42,36,73,37,95,35,38
"AREG - mRNA",41,23,260,73,20,19,72,61,81,85,80,103,20,9,11,16,67,89,16,273,10,124,18,17,15,18,19,12,12,18
"IDO1 - mRNA",44,40,418,37,26,58,69,47,61,10,89,6,6,22,17,14,3,7,8,28,15,14,48,92,42,44,25,49,40,15
"TPSAB1/B2 - mRNA",44,43,61,57,70,157,147,114,212,23,19,10,14,27,12,23,3,17,30,53,31,19,141,32,38,132,67,184,24,48
"BNIP3L - mRNA",22,12,25,25,46,95,199,158,188,5,6,7,8,9,12,15,3,13,5,50,17,5,168,25,11,88,39,119,20,21
"SLC16A1 - mRNA",24,25,26,34,64,111,167,133,155,11,16,4,7,6,17,16,3,14,14,35,16,12,194,26,14,88,46,110,20,24
"PSMC4 - mRNA",64,63,57,32,62,97,121,120,74,13,22,18,7,37,15,17,9,24,11,35,20,25,134,46,40,77,59,80,33,31
"MAP3K7 - mRNA",55,54,63,50,53,104,126,120,125,20,17,24,6,25,18,15,9,20,21,47,16,24,121,46,37,66,47,86,30,25
"TGFBR1 - mRNA",55,41,35,46,64,83,128,106,106,11,15,6,16,32,14,13,6,18,21,48,18,24,106,45,49,79,42,98,22,24
"NOTCH2 - mRNA",62,55,39,30,62,84,111,90,92,24,18,14,9,16,12,18,13,15,17,30,29,20,136,45,51,68,42,73,29,30
"HK1 - mRNA",59,42,47,40,45,103,89,80,87,20,33,13,5,22,18,13,7,11,16,49,24,15,149,34,37,63,35,77,26,25
"EIF2AK2 - mRNA",45,24,53,39,50,84,120,91,111,19,18,10,13,12,17,15,14,17,9,39,26,32,119,31,24,46,29,65,20,20
"SIRPA - mRNA",45,49,53,43,59,74,110,93,116,30,21,18,18,21,25,25,9,15,18,51,25,13,141,39,30,61,41,81,16,25
"PDZK1IP1 - mRNA",20,20,40,37,64,75,147,99,112,16,18,13,4,3,18,11,4,13,9,33,22,11,130,30,11,82,60,133,12,28
"SFXN1 - mRNA",31,20,35,35,75,105,131,95,105,21,25,16,6,13,16,19,10,22,13,48,18,16,193,31,20,55,57,90,16,31
"TYMS - mRNA",33,30,42,35,66,91,113,76,71,20,16,12,11,7,24,21,6,16,11,22,29,18,178,50,24,75,72,113,20,33
"API5 - mRNA",30,25,47,79,69,147,139,122,107,24,30,18,18,17,11,9,9,25,27,100,14,15,194,35,18,54,22,122,15,20
"PSMB5 - mRNA",17,13,64,33,51,91,95,84,90,30,34,14,11,6,4,22,7,30,23,103,15,20,192,32,15,58,39,89,17,21
"P4HA1 - mRNA",59,61,54,52,70,96,151,104,94,5,20,10,9,27,12,23,8,20,14,41,33,24,179,43,49,94,69,118,30,34
"ALDOC - mRNA",53,52,64,55,75,83,102,64,65,30,19,12,14,32,14,18,7,21,17,71,25,22,170,51,62,81,56,113,19,24
"AQP9 - mRNA",48,48,43,49,78,134,92,94,70,27,27,15,18,26,15,21,2,14,22,96,33,23,116,50,46,84,63,154,35,32
"SDHA - mRNA",46,17,62,49,59,154,107,74,67,34,27,11,18,8,17,25,10,28,24,83,20,19,194,54,21,86,67,135,34,25
"IFIT3 - mRNA",36,34,133,40,44,117,93,64,88,17,41,22,10,19,14,10,6,17,14,44,9,32,69,52,26,46,19,65,21,23
"ISG15 - mRNA",31,26,128,29,44,127,132,96,134,28,27,19,8,9,21,30,10,20,13,45,8,20,125,33,20,67,33,87,20,12
"TAPBP - mRNA",36,23,124,44,43,86,139,89,127,37,45,27,15,10,11,9,12,24,25,96,13,59,101,33,28,48,42,65,34,29
"TAP1 - mRNA",23,14,210,24,28,55,121,88,113,17,69,29,9,4,17,5,18,20,3,64,6,45,55,33,18,28,17,37,29,15
"CD47 - mRNA",40,34,157,43,35,61,137,120,118,48,42,71,21,14,11,15,44,53,8,129,15,97,91,35,46,52,33,46,23,22
"PSMB8 - mRNA",60,46,178,65,60,90,171,120,152,41,60,36,20,23,31,28,17,51,22,89,14,53,108,71,22,63,41,83,48,29
"ITGB8 - mRNA",25,22,42,25,43,63,160,145,132,20,7,14,11,18,9,8,15,19,16,56,17,25,121,21,14,37,22,44,12,6
"CCND2 - mRNA",22,20,27,27,30,63,154,107,155,9,11,9,12,6,16,10,6,10,11,36,6,10,59,21,14,17,19,57,19,4
"MYC - mRNA",18,21,33,28,27,52,198,140,174,10,13,20,10,5,19,13,13,20,9,42,8,25,56,22,14,40,18,38,14,16
"STAT3 - mRNA",15,15,51,20,31,56,161,124,166,17,15,28,11,10,3,12,15,21,8,42,14,30,68,20,11,26,29,43,11,18
"CXCL3 - mRNA",22,17,26,30,44,105,188,177,141,10,10,7,6,9,9,16,12,13,13,33,17,23,53,25,9,51,20,114,18,13
"IFNGR1 - mRNA",24,17,35,26,37,61,217,167,167,19,22,20,11,4,3,15,12,17,12,55,11,28,90,14,17,33,30,55,18,15
"ZEB2 - mRNA",21,25,22,29,42,68,206,138,182,16,7,11,4,9,14,16,6,14,12,29,14,23,67,20,13,55,31,81,11,13
"NFKB1 - mRNA",31,17,49,43,41,63,174,153,211,18,19,23,8,10,11,9,16,16,8,48,20,32,114,30,13,45,31,72,24,13
"JAK1 - mRNA",49,44,41,39,57,90,150,148,181,19,20,21,16,16,19,22,5,17,16,49,19,18,139,47,31,61,52,79,22,31
"DAB2 - mRNA",45,37,32,42,47,65,187,172,154,24,23,17,12,14,26,21,6,29,16,30,10,16,63,32,36,35,53,66,25,32
"FPR3 - mRNA",42,38,40,53,44,72,202,187,139,19,22,24,14,20,20,19,14,22,16,53,16,18,74,36,26,54,52,48,25,26
"TLR2 - mRNA",72,58,53,37,56,70,173,182,137,18,15,17,10,21,10,14,6,17,30,36,21,28,67,46,62,66,35,61,39,23
"TREM2 - mRNA",59,44,52,51,49,81,202,188,144,10,25,24,16,27,10,7,18,18,28,84,21,35,62,41,50,41,38,55,20,35
"PARP4 - mRNA",53,43,64,52,58,53,132,124,112,22,29,27,11,18,21,14,12,23,12,75,24,39,104,42,52,67,52,69,24,47
"NRAS - mRNA",48,53,53,48,58,87,162,130,124,32,27,30,20,23,15,30,8,29,26,67,21,34,130,44,30,82,55,76,21,30
"AKT1 - mRNA",29,22,66,26,51,108,161,123,129,21,27,17,11,9,13,12,5,39,19,59,18,38,155,30,16,54,31,101,24,21
"BAX - mRNA",40,39,56,43,52,98,192,107,129,16,22,8,6,22,12,20,7,25,15,48,27,17,144,35,42,50,49,88,28,27
"ITGA6 - mRNA",40,43,43,43,60,83,197,129,153,23,31,19,12,8,29,14,8,15,23,36,16,17,131,31,37,38,35,65,25,26
"CPA3 - mRNA",33,35,27,29,41,86,129,100,122,15,13,13,7,14,21,16,1,17,7,13,24,15,54,20,17,92,35,112,22,35
"RIPK2 - mRNA",55,39,86,35,40,53,116,110,143,11,15,21,6,19,4,8,19,13,11,33,23,36,55,41,46,41,48,43,21,20
"CX3CL1 - mRNA",30,29,71,32,31,69,131,98,112,16,24,19,12,16,15,10,9,13,9,51,19,27,58,27,27,26,28,45,13,17
"MFGE8 - mRNA",43,35,47,45,45,65,145,108,134,19,18,19,10,16,17,17,11,23,18,43,24,18,56,25,25,30,34,64,32,32
"LRRC32 - mRNA",53,32,37,43,38,61,121,75,114,18,18,16,11,18,28,16,5,14,15,33,15,14,54,33,32,32,29,46,24,30
"HES1 - mRNA",44,27,42,33,43,58,132,99,122,17,19,23,6,10,19,22,8,16,26,25,16,21,63,34,25,44,33,49,25,28
