"","< 25","25 - 50","50 - 100","> 100"
"NM_000577.3:480",0.666666666666667,0.3,0.0333333333333333,0
"ERCC_00019.1:140",0.666666666666667,0.333333333333333,0,0
"NM_018009.4:1425",0.633333333333333,0.3,0.0666666666666667,0
"NM_002128.5:3400",0.633333333333333,0.3,0.0666666666666667,0
"NM_000395.2:1547",0.633333333333333,0.366666666666667,0,0
"NM_021155.2:1532",0.633333333333333,0.266666666666667,0.1,0
"NM_001284403.1:326",0.633333333333333,0.3,0.0666666666666667,0
"NM_001168.2:1215",0.633333333333333,0.333333333333333,0.0333333333333333,0
"NM_002800.4:394",0.633333333333333,0.233333333333333,0.1,0.0333333333333333
"NM_005242.4:1388",0.633333333333333,0.233333333333333,0.133333333333333,0
"NM_001147.2:1775",0.633333333333333,0.233333333333333,0.0333333333333333,0.1
"NM_001144822.1:42",0.633333333333333,0.266666666666667,0.1,0
"NM_005037.5:434",0.633333333333333,0.266666666666667,0.1,0
"NM_003804.3:1304",0.633333333333333,0.2,0.166666666666667,0
"NM_001319233.1:880",0.633333333333333,0.3,0.0666666666666667,0
"NM_002416.2:2012",0.633333333333333,0.233333333333333,0.133333333333333,0
"NM_000576.2:1122",0.633333333333333,0.2,0.0666666666666667,0.1
"NM_000873.3:415",0.633333333333333,0.3,0.0666666666666667,0
"NM_000059.3:1373",0.633333333333333,0.333333333333333,0.0333333333333333,0
"NM_001284244.1:241",0.633333333333333,0.333333333333333,0.0333333333333333,0
"NM_000546.2:1330",0.633333333333333,0.333333333333333,0.0333333333333333,0
"NM_002185.3:1355",0.633333333333333,0.166666666666667,0.2,0
"NM_000619.2:450",0.633333333333333,0.266666666666667,0.1,0
"NM_002120.3:124",0.633333333333333,0.333333333333333,0.0333333333333333,0
"NM_006137.6:440",0.633333333333333,0.333333333333333,0.0333333333333333,0
"NM_001775.2:280",0.633333333333333,0.366666666666667,0,0
"NM_032043.2:1570",0.633333333333333,0.333333333333333,0.0333333333333333,0
"NM_002964.4:365",0.633333333333333,0.266666666666667,0.1,0
"NM_005621.1:260",0.633333333333333,0.333333333333333,0.0333333333333333,0
"NM_002438.2:525",0.633333333333333,0.266666666666667,0.0666666666666667,0.0333333333333333
"NM_181755.2:590",0.633333333333333,0.333333333333333,0.0333333333333333,0
"NM_002855.4:357",0.633333333333333,0.333333333333333,0.0333333333333333,0
"NM_015900.2:1250",0.633333333333333,0.366666666666667,0,0
"NM_052902.2:565",0.633333333333333,0.333333333333333,0.0333333333333333,0
"NM_021147.4:1129",0.6,0.366666666666667,0.0333333333333333,0
"NM_002467.3:1615",0.6,0.233333333333333,0.0666666666666667,0.1
"NM_002090.2:467",0.6,0.166666666666667,0.0666666666666667,0.166666666666667
"NM_001031709.2:726",0.6,0.266666666666667,0.133333333333333,0
"NM_004029.2:1705",0.6,0.266666666666667,0.133333333333333,0
"NM_001031680.2:3786",0.6,0.266666666666667,0.133333333333333,0
"NM_002122.3:258",0.6,0.166666666666667,0.133333333333333,0.1
"NM_001955.2:770",0.6,0.266666666666667,0.133333333333333,0
"NM_001282426.1:1805",0.6,0.3,0.1,0
"NM_004958.3:3444",0.6,0.333333333333333,0.0666666666666667,0
"NM_001206924.1:1685",0.6,0.266666666666667,0.133333333333333,0
"NM_145912.5:5290",0.6,0.3,0.1,0
"NM_000314.6:6696",0.6,0.366666666666667,0.0333333333333333,0
"NM_005409.4:333",0.6,0.366666666666667,0.0333333333333333,0
"NM_001127510.2:462",0.6,0.266666666666667,0.133333333333333,0
"NM_005362.3:866",0.6,0.2,0.2,0
"NM_001195797.1:135",0.6,0.2,0.133333333333333,0.0666666666666667
"NM_000878.2:1980",0.6,0.366666666666667,0.0333333333333333,0
"NM_002990.3:797",0.6,0.266666666666667,0.133333333333333,0
"NM_001171171.1:2625",0.6,0.4,0,0
"NM_003830.3:2082",0.6,0.3,0.1,0
