"","20201204_30102534581221-01_P0094 D0 2 _08.RCC","20201204_30102534581221-01_P0094 D0 3_09.RCC","20201209_30102534211221-01_P0094 D3 17 nmc2 100_02.RCC","20201209_30102534211221-01_P0094 D3 18 nmc2 30_03.RCC","20201208_30102534591221-01_P0094 D3 9 nmc2 30_06.RCC","20201208_30102534591221-01_P0094 D3 10 IgG 250_07.RCC","20201209_30102534211221-01_P0094 D3 16 IFN_01.RCC","20201209_30102534211221-01_P0094 D3 26 nmc2 100_11.RCC","20201209_30102534211221-01_P0094 D3 27 nmc2 30_12.RCC","20201208_30102534591221-01_P0094 D3 14 PD1 250_11.RCC","20201209_30102534211221-01_P0094 D3 23 PD1 250_08.RCC","20201208_30102534591221-01_P0094 D3 8 nmc2 100_05.RCC","20201204_30102534581221-01_P0094 IgG 250 D3 1_10.RCC","20201209_30102534211221-01_P0094 D3 19 IgG 250_04.RCC","20201209_30102534211221-01_P0094 D3 25 IFN_10.RCC","20201204_30102534581221-01_P0094 D0 1_07.RCC","20201208_30102534591221-01_P0094 D3 7 IFN_04.RCC"
"CX3CL1 - mRNA",48,45,31,49,59,41,34,37,32,33,94,67,67,37,64,34,99
"NKG7 - mRNA",59,38,22,34,61,40,27,23,26,35,71,69,63,34,55,40,94
"PRR5 - mRNA",48,40,19,29,45,38,30,19,14,35,76,45,50,27,50,25,80
"IL6 - mRNA",45,27,34,30,49,44,32,39,31,34,87,58,57,25,59,20,80
"IL2RG - mRNA",77,65,25,21,66,32,13,23,26,44,63,65,41,38,54,47,71
"MAGEB2 - mRNA",55,51,34,27,68,40,23,36,14,46,74,72,53,34,45,30,74
"IFIH1 - mRNA",75,74,32,31,90,47,35,38,18,42,69,90,49,34,83,51,82
"OAS2 - mRNA",88,78,22,29,77,45,27,37,24,44,94,78,62,45,74,47,64
"PFKFB3 - mRNA",76,56,28,24,51,37,28,36,24,45,48,43,50,38,62,31,53
"IFI35 - mRNA",86,64,46,35,55,40,42,43,20,49,41,57,52,33,63,38,54
"POLD1 - mRNA",68,61,25,44,45,44,37,38,21,41,49,51,68,51,70,39,66
"EOMES - mRNA",57,48,27,34,58,45,21,49,37,36,57,59,56,47,65,39,65
"IL11RA - mRNA",50,43,33,37,62,42,37,35,26,44,64,48,58,49,63,33,61
"BBS1 - mRNA",85,47,41,40,67,59,35,37,30,43,54,41,69,50,65,43,80
"PIK3CD - mRNA",71,56,44,42,51,57,30,38,31,48,49,62,59,42,50,47,71
"NLRC5 - mRNA",75,47,39,47,46,51,25,37,33,60,53,56,58,45,53,36,64
"TNFRSF10D - mRNA",62,35,35,33,59,48,30,34,23,66,43,77,59,39,53,26,71
"VCAM1 - mRNA",64,56,17,24,67,35,28,27,27,38,62,54,63,31,69,27,56
"TICAM1 - mRNA",63,40,29,29,56,44,27,32,19,36,67,39,59,39,56,28,66
"STC1 - mRNA",59,36,37,37,54,38,34,32,18,31,59,41,47,30,60,26,57
"IL10RA - mRNA",59,63,50,53,68,52,40,57,38,48,63,69,70,59,63,46,75
"CD3D - mRNA",82,80,44,50,54,37,41,54,29,57,55,58,65,53,54,48,62
"TRIM21 - mRNA",66,58,29,27,64,52,30,36,15,35,71,74,57,61,70,36,85
"CCL5 - mRNA",71,61,41,45,70,40,35,42,25,43,59,66,46,57,87,39,88
"ITGB2 - mRNA",68,52,35,29,67,41,36,57,31,47,39,47,56,51,54,39,94
"ERBB2 - mRNA",74,60,37,23,53,53,36,48,21,60,44,61,70,61,80,35,92
"JAK2 - mRNA",76,56,33,26,65,53,30,49,30,50,61,54,59,63,76,43,85
"CD69 - mRNA",80,76,51,46,36,48,42,46,41,67,45,47,39,40,57,51,47
"NFKB2 - mRNA",83,63,35,46,64,54,43,37,37,82,77,65,43,51,58,55,64
