"","ProbeID","Codeset.Name","Probe.Label","Analyte.Type","Is.Control","Control.Type","Related.Probes","Probe.Annotation","KEGG.Pathways","Cell.Type","Official.Gene.Name","probeLabel.Type","below.threshold"
"MAGEA12 - mRNA","NM_001166386.1:567","NS_IO_360_V1.0","MAGEA12","mRNA",0,"","","","","","MAGEA12","MAGEA12 - mRNA","True"
"HDC - mRNA","NM_002112.3:1646","NS_IO_360_V1.0","HDC","mRNA",0,"","","","","Mast cells","HDC","HDC - mRNA","True"
"MXI1 - mRNA","NM_001008541.1:2037","NS_IO_360_V1.0","MXI1","mRNA",0,"","","","","","MXI1","MXI1 - mRNA","False"
"CDC25C - mRNA","NM_001790.4:1056","NS_IO_360_V1.0","CDC25C","mRNA",0,"","","Cell Proliferation","hsa04110;hsa04114;hsa04914;hsa05206","","CDC25C","CDC25C - mRNA","True"
"TNFRSF17 - mRNA","NM_001192.2:305","NS_IO_360_V1.0","TNFRSF17","mRNA",0,"","","NF-kappaB Signaling","hsa04060;hsa04672","B-cells","TNFRSF17","TNFRSF17 - mRNA","True"
"CD79A - mRNA","NM_001783.3:618","NS_IO_360_V1.0","CD79A","mRNA",0,"","","Lymphoid Compartment","hsa04662;hsa05340","","CD79A","CD79A - mRNA","True"
"HLA-DQA2 - mRNA","NM_020056.4:90","NS_IO_360_V1.0","HLA-DQA2","mRNA",0,"","","Interferon Signaling;Immune Cell Adhesion and Migration;Costimulatory Signaling;Antigen Presentation","hsa04145;hsa04514;hsa04612;hsa04672;hsa04940;hsa05140;hsa05145;hsa05150;hsa05152;hsa05164;hsa05166;hsa05168;hsa05169;hsa05310;hsa05320;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332;hsa05416","","HLA-DQA2","HLA-DQA2 - mRNA","True"
"COL6A3 - mRNA","NM_004369.3:3293","NS_IO_360_V1.0","COL6A3","mRNA",0,"","","PI3K-Akt;Matrix Remodeling and Metastasis","hsa04151;hsa04510;hsa04512;hsa04974","","COL6A3","COL6A3 - mRNA","True"
"GZMB - mRNA","NM_004131.4:621","NS_IO_360_V1.0","GZMB","mRNA",0,"","","Notch Signaling;Lymphoid Compartment;Cytotoxicity;Apoptosis","hsa04650;hsa04940;hsa05202;hsa05320;hsa05330;hsa05332","Cytotoxic cells","GZMB","GZMB - mRNA","True"
"MAP3K12 - mRNA","NM_006301.3:2680","NS_IO_360_V1.0","MAP3K12","mRNA",0,"","","MAPK;Epigenetic Regulation","hsa04010","","MAP3K12","MAP3K12 - mRNA","True"
"BTLA - mRNA","NM_001085357.1:382","NS_IO_360_V1.0","BTLA","mRNA",0,"","","Costimulatory Signaling","","","BTLA","BTLA - mRNA","True"
"GMIP - mRNA","NM_001288998.1:1706","NS_IO_360_V1.0","GMIP","mRNA",0,"","","","","","GMIP","GMIP - mRNA","True"
"CCL13 - mRNA","NM_005408.2:129","NS_IO_360_V1.0","CCL13","mRNA",0,"","","Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa04064","DC","CCL13","CCL13 - mRNA","True"
"WNT5B - mRNA","NM_030775.2:254","NS_IO_360_V1.0","WNT5B","mRNA",0,"","","Wnt Signaling;Hedgehog Signaling","hsa04310;hsa04340;hsa04390;hsa04550;hsa04916;hsa05166;hsa05200;hsa05205;hsa05217","","WNT5B","WNT5B - mRNA","True"
"MMP1 - mRNA","NM_002421.2:700","NS_IO_360_V1.0","MMP1","mRNA",0,"","","Myeloid Compartment;Matrix Remodeling and Metastasis","hsa03320;hsa05200;hsa05219;hsa05323","","MMP1","MMP1 - mRNA","True"
"FCAR - mRNA","NM_133278.2:750","NS_IO_360_V1.0","FCAR","mRNA",0,"","","Myeloid Compartment","hsa04145;hsa05150","Neutrophils","FCAR","FCAR - mRNA","True"
"ZAP70 - mRNA","NM_001079.3:1175","NS_IO_360_V1.0","ZAP70","mRNA",0,"","","MAPK;Lymphoid Compartment;Costimulatory Signaling","hsa04014;hsa04064;hsa04650;hsa04660;hsa05340","","ZAP70","ZAP70 - mRNA","True"
"SLC11A1 - mRNA","NM_000578.3:1679","NS_IO_360_V1.0","SLC11A1","mRNA",0,"","","Myeloid Compartment","hsa04142","","SLC11A1","SLC11A1 - mRNA","True"
"IL2RG - mRNA","NM_000206.1:595","NS_IO_360_V1.0","IL2RG","mRNA",0,"","","PI3K-Akt;Lymphoid Compartment;JAK-STAT Signaling;Cytokine and Chemokine Signaling;Costimulatory Signaling","hsa04060;hsa04144;hsa04151;hsa04630;hsa05162;hsa05166;hsa05321;hsa05340","","IL2RG","IL2RG - mRNA","True"
"CD38 - mRNA","NM_001775.2:280","NS_IO_360_V1.0","CD38","mRNA",0,"","","Lymphoid Compartment","hsa04020;hsa04640;hsa04921;hsa04970;hsa05169","","CD38","CD38 - mRNA","True"
"TNFRSF8 - mRNA","NM_001243.3:549","NS_IO_360_V1.0","TNFRSF8","mRNA",0,"","","","hsa04060","","TNFRSF8","TNFRSF8 - mRNA","True"
"CD79B - mRNA","NM_001039933.1:884","NS_IO_360_V1.0","CD79B","mRNA",0,"","","Lymphoid Compartment","hsa04662","","CD79B","CD79B - mRNA","True"
"MAGEC2 - mRNA","NM_016249.3:327","NS_IO_360_V1.0","MAGEC2","mRNA",0,"","","","","","MAGEC2","MAGEC2 - mRNA","True"
"DLL1 - mRNA","NM_005618.3:1520","NS_IO_360_V1.0","DLL1","mRNA",0,"","","Notch Signaling","hsa04330","","DLL1","DLL1 - mRNA","True"
"NCAM1 - mRNA","NM_000615.6:1134","NS_IO_360_V1.0","NCAM1","mRNA",0,"","","Matrix Remodeling and Metastasis;Interferon Signaling;Immune Cell Adhesion and Migration","hsa04514;hsa05020","","NCAM1","NCAM1 - mRNA","True"
"CCNA1 - mRNA","NM_001111045.1:892","NS_IO_360_V1.0","CCNA1","mRNA",0,"","","Metabolic Stress;DNA Damage Repair;Cell Proliferation","hsa04110;hsa04152;hsa04914;hsa05161;hsa05169;hsa05200;hsa05202;hsa05203;hsa05221","","CCNA1","CCNA1 - mRNA","True"
"C5AR1 - mRNA","NM_001736.3:546","NS_IO_360_V1.0","C5AR1","mRNA",0,"","","Myeloid Compartment","hsa04080;hsa04610;hsa05150","","C5AR1","C5AR1 - mRNA","True"
"IL4 - mRNA","NM_172348.1:535","NS_IO_360_V1.0","IL4","mRNA",0,"","","PI3K-Akt;JAK-STAT Signaling;Cytokine and Chemokine Signaling;Costimulatory Signaling","hsa04060;hsa04151;hsa04630;hsa04640;hsa04660;hsa04664;hsa04672;hsa05140;hsa05162;hsa05310;hsa05320;hsa05321;hsa05330","","IL4","IL4 - mRNA","True"
"NOS2 - mRNA","NM_000625.4:1005","NS_IO_360_V1.0","NOS2","mRNA",0,"","","Myeloid Compartment;Hypoxia","hsa00220;hsa00330;hsa04020;hsa04066;hsa05132;hsa05133;hsa05140;hsa05142;hsa05145;hsa05146;hsa05152;hsa05200;hsa05222","","NOS2","NOS2 - mRNA","True"
"FPR1 - mRNA","NM_002029.3:625","NS_IO_360_V1.0","FPR1","mRNA",0,"","","Myeloid Compartment","hsa04015;hsa04080;hsa05150","Neutrophils","FPR1","FPR1 - mRNA","True"
"IL7R - mRNA","NM_002185.3:1355","NS_IO_360_V1.0","IL7R","mRNA",0,"","","PI3K-Akt;JAK-STAT Signaling;Cytokine and Chemokine Signaling","hsa04060;hsa04068;hsa04151;hsa04630;hsa04640;hsa05340","","IL7R","IL7R - mRNA","True"
"CD2 - mRNA","NM_001767.3:683","NS_IO_360_V1.0","CD2","mRNA",0,"","","Lymphoid Compartment;Immune Cell Adhesion and Migration;Costimulatory Signaling","hsa04514;hsa04640","","CD2","CD2 - mRNA","True"
"TLR1 - mRNA","NM_003263.3:696","NS_IO_360_V1.0","TLR1","mRNA",0,"","","Myeloid Compartment","hsa04620;hsa05152","","TLR1","TLR1 - mRNA","False"
"LAIR1 - mRNA","NM_001289023.2:864","NS_IO_360_V1.0","LAIR1","mRNA",0,"","","","","","LAIR1","LAIR1 - mRNA","True"
"KIT - mRNA","NM_000222.2:802","NS_IO_360_V1.0","KIT","mRNA",0,"","","PI3K-Akt;Metabolic Stress;MAPK","hsa04014;hsa04015;hsa04060;hsa04072;hsa04144;hsa04151;hsa04640;hsa04916;hsa05200;hsa05221;hsa05230","","KIT","KIT - mRNA","True"
"NCR1 - mRNA","NM_001145457.2:409","NS_IO_360_V1.0","NCR1","mRNA",0,"","","","hsa04650","NK cells","NCR1","NCR1 - mRNA","True"
"MAGEA1 - mRNA","NM_004988.4:344","NS_IO_360_V1.0","MAGEA1","mRNA",0,"","","","","","MAGEA1","MAGEA1 - mRNA","True"
"P2RY13 - mRNA","NM_023914.2:2350","NS_IO_360_V1.0","P2RY13","mRNA",0,"","","Myeloid Compartment","hsa04080","","P2RY13","P2RY13 - mRNA","True"
"IL18R1 - mRNA","NM_001282399.1:683","NS_IO_360_V1.0","IL18R1","mRNA",0,"","","Lymphoid Compartment;Cytokine and Chemokine Signaling;Costimulatory Signaling","hsa04060;hsa04668;hsa05321","","IL18R1","IL18R1 - mRNA","True"
"SERPINB5 - mRNA","NM_002639.4:90","NS_IO_360_V1.0","SERPINB5","mRNA",0,"","","Angiogenesis","hsa04115;hsa05206","","SERPINB5","SERPINB5 - mRNA","True"
"TNFSF9 - mRNA","NM_003811.3:239","NS_IO_360_V1.0","TNFSF9","mRNA",0,"","","Costimulatory Signaling","hsa04060","","TNFSF9","TNFSF9 - mRNA","True"
"CXCL13 - mRNA","NM_006419.2:209","NS_IO_360_V1.0","CXCL13","mRNA",0,"","","Lymphoid Compartment;Cytokine and Chemokine Signaling","hsa04060;hsa04062","","CXCL13","CXCL13 - mRNA","True"
"STK11IP - mRNA","NM_052902.2:565","NS_IO_360_V1.0","STK11IP","mRNA",1,"Housekeeping","","","","","STK11IP","STK11IP - mRNA","True"
"TNFSF18 - mRNA","NM_005092.3:350","NS_IO_360_V1.0","TNFSF18","mRNA",0,"","","NF-kappaB Signaling","hsa04060","","TNFSF18","TNFSF18 - mRNA","True"
"ROR2 - mRNA","NM_001318204.1:674","NS_IO_360_V1.0","ROR2","mRNA",0,"","","","","","ROR2","ROR2 - mRNA","True"
"CSF3R - mRNA","NM_000760.3:2066","NS_IO_360_V1.0","CSF3R","mRNA",0,"","","PI3K-Akt;Myeloid Compartment;JAK-STAT Signaling;Cytokine and Chemokine Signaling","hsa04060;hsa04151;hsa04630;hsa04640;hsa05200","Neutrophils","CSF3R","CSF3R - mRNA","True"
"TLR8 - mRNA","NM_138636.4:2210","NS_IO_360_V1.0","TLR8","mRNA",0,"","","Myeloid Compartment","hsa04620","","TLR8","TLR8 - mRNA","True"
"CD5 - mRNA","NM_001346456.1:1526","NS_IO_360_V1.0","CD5","mRNA",0,"","","Lymphoid Compartment","hsa04640","","CD5","CD5 - mRNA","True"
"IFNG - mRNA","NM_000619.2:450","NS_IO_360_V1.0","IFNG","mRNA",0,"","","TGF-beta Signaling;Lymphoid Compartment;JAK-STAT Signaling;Interferon Signaling;Hypoxia;Cytotoxicity;Antigen Presentation","hsa03050;hsa04060;hsa04066;hsa04350;hsa04380;hsa04612;hsa04630;hsa04650;hsa04660;hsa04940;hsa05132;hsa05140;hsa05142;hsa05143;hsa05144;hsa05145;hsa05146;hsa05152;hsa05162;hsa05164;hsa05168;hsa05169;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332","","IFNG","IFNG - mRNA","True"
"SHC2 - mRNA","NM_012435.2:681","NS_IO_360_V1.0","SHC2","mRNA",0,"","","MAPK;Cytokine and Chemokine Signaling","hsa04012;hsa04014;hsa04062;hsa04072;hsa04370;hsa04510;hsa04650;hsa04722;hsa04910;hsa04915;hsa04917;hsa05034;hsa05100;hsa05214;hsa05220","","SHC2","SHC2 - mRNA","True"
"CXorf36 - mRNA","NM_024689.2:131","NS_IO_360_V1.0","CXorf36","mRNA",0,"","","","","","DIPK2B","CXorf36 - mRNA","True"
"CD45RO - mRNA","NM_080921.3:258","NS_IO_360_V1.0","CD45RO","mRNA",0,"","NM_002838.4:258;NM_080921.3:99","","hsa04514;hsa04660;hsa04666;hsa05340","CD45","PTPRC","CD45RO - mRNA","True"
"TNFRSF9 - mRNA","NM_001561.5:567","NS_IO_360_V1.0","TNFRSF9","mRNA",0,"","","","hsa04060","","TNFRSF9","TNFRSF9 - mRNA","False"
"LILRB4 - mRNA","NM_001278426.3:591","NS_IO_360_V1.0","LILRB4","mRNA",0,"","","","hsa04380","","LILRB4","LILRB4 - mRNA","True"
"KLRK1 - mRNA","NM_007360.3:522","NS_IO_360_V1.0","KLRK1","mRNA",0,"","","Lymphoid Compartment;Cytotoxicity","hsa04650;hsa05144","Cytotoxic cells","KLRK1","KLRK1 - mRNA","True"
"GZMH - mRNA","NM_033423.3:705","NS_IO_360_V1.0","GZMH","mRNA",0,"","","Lymphoid Compartment;Cytotoxicity","","Cytotoxic cells","GZMH","GZMH - mRNA","True"
"FASLG - mRNA","NM_000639.2:605","NS_IO_360_V1.0","FASLG","mRNA",0,"","","PI3K-Akt;NF-kappaB Signaling;MAPK;Cytotoxicity","hsa04010;hsa04014;hsa04060;hsa04068;hsa04151;hsa04210;hsa04650;hsa04722;hsa04932;hsa04940;hsa05142;hsa05143;hsa05161;hsa05162;hsa05164;hsa05168;hsa05200;hsa05205;hsa05320;hsa05330;hsa05332","","FASLG","FASLG - mRNA","True"
"IL17A - mRNA","NM_002190.2:183","NS_IO_360_V1.0","IL17A","mRNA",0,"","","Cytokine and Chemokine Signaling;Costimulatory Signaling","hsa04060;hsa05321;hsa05323","","IL17A","IL17A - mRNA","True"
"ICOS - mRNA","NM_012092.3:591","NS_IO_360_V1.0","ICOS","mRNA",0,"","","Lymphoid Compartment;Immune Cell Adhesion and Migration;Costimulatory Signaling","hsa04514;hsa04660;hsa04672;hsa05340","","ICOS","ICOS - mRNA","True"
"KLRD1 - mRNA","NM_002262.3:393","NS_IO_360_V1.0","KLRD1","mRNA",0,"","","Lymphoid Compartment;Cytotoxicity;Antigen Presentation","hsa04612;hsa04650;hsa05332","Cytotoxic cells","KLRD1","KLRD1 - mRNA","True"
"KLRB1 - mRNA","NM_002258.2:85","NS_IO_360_V1.0","KLRB1","mRNA",0,"","","Lymphoid Compartment;Cytotoxicity","hsa05144","Cytotoxic cells","KLRB1","KLRB1 - mRNA","True"
"CCL14 - mRNA","NM_032962.4:253","NS_IO_360_V1.0","CCL14","mRNA",0,"","","Cytokine and Chemokine Signaling","hsa04060;hsa04062","","CCL14","CCL14 - mRNA","True"
"CD244 - mRNA","NM_001166663.1:1037","NS_IO_360_V1.0","CD244","mRNA",0,"","","","hsa04650","Exhausted CD8","CD244","CD244 - mRNA","True"
"CNTFR - mRNA","NM_147164.2:1151","NS_IO_360_V1.0","CNTFR","mRNA",0,"","","JAK-STAT Signaling;Cytotoxicity","hsa04060;hsa04630","","CNTFR","CNTFR - mRNA","True"
"CES3 - mRNA","NM_001185176.1:916","NS_IO_360_V1.0","CES3","mRNA",0,"","","Angiogenesis","","","CES3","CES3 - mRNA","True"
"CLECL1 - mRNA","NM_172004.3:357","NS_IO_360_V1.0","CLECL1","mRNA",0,"","","Immune Cell Adhesion and Migration","","","CLECL1","CLECL1 - mRNA","True"
"CST2 - mRNA","NM_001322.2:201","NS_IO_360_V1.0","CST2","mRNA",0,"","","","hsa04970","","CST2","CST2 - mRNA","True"
"ROBO4 - mRNA","NM_019055.5:3080","NS_IO_360_V1.0","ROBO4","mRNA",0,"","","","","","ROBO4","ROBO4 - mRNA","True"
"PIK3R5 - mRNA","NM_014308.3:3275","NS_IO_360_V1.0","PIK3R5","mRNA",0,"","","PI3K-Akt;Metabolic Stress;MAPK;JAK-STAT Signaling;Immune Cell Adhesion and Migration;Hypoxia;Cytokine and Chemokine Signaling","hsa04012;hsa04014;hsa04015;hsa04022;hsa04024;hsa04062;hsa04066;hsa04068;hsa04070;hsa04071;hsa04072;hsa04150;hsa04151;hsa04152;hsa04210;hsa04211;hsa04213;hsa04261;hsa04370;hsa04380;hsa04510;hsa04550;hsa04611;hsa04620;hsa04630;hsa04650;hsa04660;hsa04662;hsa04664;hsa04666;hsa04668;hsa04670;hsa04722;hsa04725;hsa04750;hsa04810;hsa04910;hsa04914;hsa04915;hsa04917;hsa04919;hsa04921;hsa04923;hsa04930;hsa04931;hsa04932;hsa04933;hsa04960;hsa04973;hsa05100;hsa05142;hsa05145;hsa05146;hsa05160;hsa05161;hsa05162;hsa05164;hsa05166;hsa05169;hsa05200;hsa05203;hsa05205;hsa05210;hsa05211;hsa05212;hsa05213;hsa05214;hsa05215;hsa05218;hsa05220;hsa05221;hsa05222;hsa05223;hsa05230;hsa05231","","PIK3R5","PIK3R5 - mRNA","True"
"GHR - mRNA","NM_000163.2:1835","NS_IO_360_V1.0","GHR","mRNA",0,"","","PI3K-Akt;JAK-STAT Signaling;Interferon Signaling;Cytotoxicity","hsa04060;hsa04080;hsa04151;hsa04630","","GHR","GHR - mRNA","True"
"IL16 - mRNA","NM_004513.4:1262","NS_IO_360_V1.0","IL16","mRNA",0,"","","Cytokine and Chemokine Signaling","","","IL16","IL16 - mRNA","True"
"KIR3DL2 - mRNA","NM_006737.2:884","NS_IO_360_V1.0","KIR3DL2","mRNA",0,"","","Lymphoid Compartment;Cytotoxicity;Antigen Presentation","hsa04612;hsa04650;hsa05332","NK CD56dim cells","KIR3DL2","KIR3DL2 - mRNA","True"
"SOX2 - mRNA","NM_003106.2:151","NS_IO_360_V1.0","SOX2","mRNA",0,"","","Wnt Signaling","hsa04390;hsa04550","","SOX2","SOX2 - mRNA","True"
"SOX10 - mRNA","NM_006941.3:2601","NS_IO_360_V1.0","SOX10","mRNA",0,"","","","","","SOX10","SOX10 - mRNA","True"
"COL4A5 - mRNA","NM_000495.4:1714","NS_IO_360_V1.0","COL4A5","mRNA",0,"","","PI3K-Akt;Matrix Remodeling and Metastasis","hsa04151;hsa04510;hsa04512;hsa04933;hsa04974;hsa05146;hsa05200;hsa05222","","COL4A5","COL4A5 - mRNA","True"
"FGF13 - mRNA","NM_001139498.1:975","NS_IO_360_V1.0","FGF13","mRNA",0,"","","PI3K-Akt;MAPK","hsa04010;hsa04014;hsa04015;hsa04151;hsa04810;hsa05200;hsa05218","","FGF13","FGF13 - mRNA","True"
"TNFRSF11A - mRNA","NM_001270949.1:1940","NS_IO_360_V1.0","TNFRSF11A","mRNA",0,"","","NF-kappaB Signaling","hsa04060;hsa04064;hsa04380;hsa04917;hsa05323","","TNFRSF11A","TNFRSF11A - mRNA","True"
"PRLR - mRNA","NM_000949.5:990","NS_IO_360_V1.0","PRLR","mRNA",0,"","","PI3K-Akt;JAK-STAT Signaling;Cytotoxicity","hsa04060;hsa04080;hsa04151;hsa04630;hsa04917","","PRLR","PRLR - mRNA","True"
"TIGIT - mRNA","NM_173799.2:1968","NS_IO_360_V1.0","TIGIT","mRNA",0,"","","Lymphoid Compartment;Immune Cell Adhesion and Migration;Costimulatory Signaling","hsa04514","","TIGIT","TIGIT - mRNA","True"
"COMP - mRNA","NM_000095.2:1271","NS_IO_360_V1.0","COMP","mRNA",0,"","","PI3K-Akt;Matrix Remodeling and Metastasis","hsa04145;hsa04151;hsa04510;hsa04512;hsa05144","","COMP","COMP - mRNA","True"
"TWIST2 - mRNA","NM_001271893.3:617","NS_IO_360_V1.0","TWIST2","mRNA",0,"","","","hsa05205","","TWIST2","TWIST2 - mRNA","True"
"TWIST1 - mRNA","NM_000474.3:293","NS_IO_360_V1.0","TWIST1","mRNA",0,"","","","hsa05205","","TWIST1","TWIST1 - mRNA","True"
"CCL22 - mRNA","NM_002990.3:797","NS_IO_360_V1.0","CCL22","mRNA",0,"","","Cytokine and Chemokine Signaling","hsa04060;hsa04062","","CCL22","CCL22 - mRNA","True"
"HSD11B1 - mRNA","NM_181755.2:590","NS_IO_360_V1.0","HSD11B1","mRNA",0,"","","","","DC","HSD11B1","HSD11B1 - mRNA","True"
"RUNX3 - mRNA","NM_001031680.2:3786","NS_IO_360_V1.0","RUNX3","mRNA",0,"","","","","","RUNX3","RUNX3 - mRNA","True"
"CX3CR1 - mRNA","NM_001171171.1:2625","NS_IO_360_V1.0","CX3CR1","mRNA",0,"","","Cytokine and Chemokine Signaling","hsa04060;hsa04062","","CX3CR1","CX3CR1 - mRNA","True"
"TAF3 - mRNA","NM_031923.3:869","NS_IO_360_V1.0","TAF3","mRNA",0,"","","","hsa05168","","TAF3","TAF3 - mRNA","True"
"DEFB134 - mRNA","NM_001302695.1:191","NS_IO_360_V1.0","DEFB134","mRNA",0,"","","","","","DEFB134","DEFB134 - mRNA","True"
"SIRPB2 - mRNA","NM_001134836.1:600","NS_IO_360_V1.0","SIRPB2","mRNA",0,"","","Myeloid Compartment","","","SIRPB2","SIRPB2 - mRNA","True"
"C5 - mRNA","NM_001317163.1:2212","NS_IO_360_V1.0","C5","mRNA",0,"","","","hsa04610;hsa05020;hsa05133;hsa05150;hsa05168;hsa05322","","C5","C5 - mRNA","True"
"TGFB3 - mRNA","NM_001329938.1:262","NS_IO_360_V1.0","TGFB3","mRNA",0,"","","TGF-beta Signaling;Matrix Remodeling and Metastasis;MAPK","hsa04010;hsa04060;hsa04068;hsa04110;hsa04144;hsa04350;hsa04390;hsa04933;hsa05140;hsa05142;hsa05144;hsa05145;hsa05146;hsa05152;hsa05161;hsa05166;hsa05200;hsa05210;hsa05211;hsa05212;hsa05220;hsa05321;hsa05323;hsa05410;hsa05414","","TGFB3","TGFB3 - mRNA","True"
"JAG2 - mRNA","NM_002226.4:5480","NS_IO_360_V1.0","JAG2","mRNA",0,"","","Notch Signaling","hsa04330","","JAG2","JAG2 - mRNA","True"
"PGPEP1 - mRNA","NM_001300927.1:6607","NS_IO_360_V1.0","PGPEP1","mRNA",0,"","","Angiogenesis","","","PGPEP1","PGPEP1 - mRNA","True"
"ADGRE1 - mRNA","NM_001256252.1:1130","NS_IO_360_V1.0","ADGRE1","mRNA",0,"","","","","","ADGRE1","ADGRE1 - mRNA","True"
"MAGEB2 - mRNA","NM_002364.4:1026","NS_IO_360_V1.0","MAGEB2","mRNA",0,"","","","","","MAGEB2","MAGEB2 - mRNA","True"
"FAM30A - mRNA","NR_026800.2:9125","NS_IO_360_V1.0","FAM30A","mRNA",0,"","","","","B-cells","FAM30A","FAM30A - mRNA","True"
"C7 - mRNA","NM_000587.2:1488","NS_IO_360_V1.0","C7","mRNA",0,"","","","hsa04610;hsa05020;hsa05322","","C7","C7 - mRNA","True"
"NFAM1 - mRNA","NM_145912.5:5290","NS_IO_360_V1.0","NFAM1","mRNA",0,"","","Myeloid Compartment","","","NFAM1","NFAM1 - mRNA","True"
"PDCD1 - mRNA","NM_005018.1:175","NS_IO_360_V1.0","PDCD1","mRNA",0,"","","Lymphoid Compartment;Immune Cell Adhesion and Migration;Costimulatory Signaling","hsa04514;hsa04660","","PDCD1","PDCD1 - mRNA","True"
"XCL1/2 - mRNA","NM_002995.2:266","NS_IO_360_V1.0","XCL1/2","mRNA",0,"","","DNA Damage Repair","hsa04060;hsa04062","NK cells","XCL1","XCL1/2 - mRNA","True"
"FCN1 - mRNA","NM_002003.4:969","NS_IO_360_V1.0","FCN1","mRNA",0,"","","Myeloid Compartment","","","FCN1","FCN1 - mRNA","True"
"CD80 - mRNA","NM_005191.3:674","NS_IO_360_V1.0","CD80","mRNA",0,"","","Lymphoid Compartment;Immune Cell Adhesion and Migration;Costimulatory Signaling","hsa04514;hsa04620;hsa04672;hsa04940;hsa05320;hsa05322;hsa05323;hsa05330;hsa05332;hsa05416","","CD80","CD80 - mRNA","True"
"IL1RN - mRNA","NM_000577.3:480","NS_IO_360_V1.0","IL1RN","mRNA",0,"","","Myeloid Compartment;Cytokine and Chemokine Signaling","","","IL1RN","IL1RN - mRNA","True"
"FOXP3 - mRNA","NM_014009.3:1230","NS_IO_360_V1.0","FOXP3","mRNA",0,"","","","hsa05321","Treg","FOXP3","FOXP3 - mRNA","True"
"CCL21 - mRNA","NM_002989.2:155","NS_IO_360_V1.0","CCL21","mRNA",0,"","","Cytokine and Chemokine Signaling","hsa04060;hsa04062;hsa04064","","CCL21","CCL21 - mRNA","True"
"FGF18 - mRNA","NM_003862.2:1030","NS_IO_360_V1.0","FGF18","mRNA",0,"","","PI3K-Akt;MAPK;Angiogenesis","hsa04010;hsa04014;hsa04015;hsa04151;hsa04810;hsa05200;hsa05218","","FGF18","FGF18 - mRNA","True"
"GZMM - mRNA","NM_005317.2:669","NS_IO_360_V1.0","GZMM","mRNA",0,"","","Lymphoid Compartment;Cytotoxicity","","","GZMM","GZMM - mRNA","True"
"WNT2 - mRNA","NM_003391.2:2014","NS_IO_360_V1.0","WNT2","mRNA",0,"","","Wnt Signaling;Hedgehog Signaling","hsa04310;hsa04340;hsa04390;hsa04550;hsa04916;hsa05166;hsa05200;hsa05205;hsa05217","","WNT2","WNT2 - mRNA","True"
"CD40LG - mRNA","NM_000074.2:1225","NS_IO_360_V1.0","CD40LG","mRNA",0,"","","NF-kappaB Signaling;Lymphoid Compartment;Immune Cell Adhesion and Migration;Costimulatory Signaling","hsa04060;hsa04064;hsa04514;hsa04660;hsa04672;hsa05144;hsa05145;hsa05310;hsa05320;hsa05322;hsa05330;hsa05340;hsa05416","","CD40LG","CD40LG - mRNA","True"
"CSF3 - mRNA","NM_000759.3:851","NS_IO_360_V1.0","CSF3","mRNA",0,"","","PI3K-Akt;JAK-STAT Signaling;Cytokine and Chemokine Signaling","hsa04060;hsa04151;hsa04630;hsa04640;hsa05144","","CSF3","CSF3 - mRNA","True"
"MS4A2 - mRNA","NM_000139.3:126","NS_IO_360_V1.0","MS4A2","mRNA",0,"","","","hsa04071;hsa04072;hsa04664;hsa05310","Mast cells","MS4A2","MS4A2 - mRNA","True"
"FAP - mRNA","NM_004460.2:236","NS_IO_360_V1.0","FAP","mRNA",0,"","","","","","FAP","FAP - mRNA","True"
"CBLC - mRNA","NM_001130852.1:657","NS_IO_360_V1.0","CBLC","mRNA",0,"","","Cytotoxicity","hsa04012;hsa04120;hsa04144;hsa04660;hsa04910;hsa05100;hsa05200;hsa05205;hsa05220","","CBLC","CBLC - mRNA","True"
"BLK - mRNA","NM_001330465.1:780","NS_IO_360_V1.0","BLK","mRNA",0,"","","Lymphoid Compartment","","B-cells","BLK","BLK - mRNA","True"
"HLA-DOB - mRNA","NM_002120.3:124","NS_IO_360_V1.0","HLA-DOB","mRNA",0,"","","Lymphoid Compartment;Immune Cell Adhesion and Migration;Antigen Presentation","hsa04145;hsa04514;hsa04612;hsa04672;hsa04940;hsa05140;hsa05145;hsa05150;hsa05152;hsa05164;hsa05166;hsa05168;hsa05310;hsa05320;hsa05321;hsa05322;hsa05323;hsa05330;hsa05332;hsa05416","","HLA-DOB","HLA-DOB - mRNA","True"
"IL21R - mRNA","NM_021798.3:744","NS_IO_360_V1.0","IL21R","mRNA",0,"","","JAK-STAT Signaling;Cytokine and Chemokine Signaling","hsa04060;hsa04630;hsa05321","NK CD56dim cells","IL21R","IL21R - mRNA","True"
"HDAC4 - mRNA","NM_006037.3:3742","NS_IO_360_V1.0","HDAC4","mRNA",0,"","","Notch Signaling;Epigenetic Regulation","hsa05034;hsa05169;hsa05203;hsa05206","","HDAC4","HDAC4 - mRNA","True"
"FZD9 - mRNA","NM_003508.2:1446","NS_IO_360_V1.0","FZD9","mRNA",0,"","","Wnt Signaling","hsa04310;hsa04390;hsa04550;hsa04916;hsa05166;hsa05200;hsa05205;hsa05217","","FZD9","FZD9 - mRNA","True"
