"","ProbeID","Codeset.Name","Probe.Label","Analyte.Type","Is.Control","Control.Type","Related.Probes","Probe.Annotation","KEGG.Pathways","Cell.Type","Official.Gene.Name","probeLabel.Type","below.threshold"
"CCNE1 - mRNA","NM_001238.1:1155","NS_IO_360_V1.0","CCNE1","mRNA",0,"","","PI3K-Akt;Metabolic Stress;Cell Proliferation;Angiogenesis","hsa04110;hsa04114;hsa04115;hsa04151;hsa05161;hsa05162;hsa05200;hsa05203;hsa05206;hsa05215;hsa05222","","CCNE1","CCNE1 - mRNA","False"
"DEPTOR - mRNA","NM_001283012.1:1141","NS_IO_360_V1.0","DEPTOR","mRNA",0,"","","Metabolic Stress;Autophagy","","","DEPTOR","DEPTOR - mRNA","False"
"VEGFB - mRNA","NM_003377.3:687","NS_IO_360_V1.0","VEGFB","mRNA",0,"","","PI3K-Akt;MAPK;Angiogenesis","hsa04014;hsa04015;hsa04060;hsa04151;hsa04510;hsa04933;hsa05200","","VEGFB","VEGFB - mRNA","False"
"PFKFB3 - mRNA","NM_004566.3:1925","NS_IO_360_V1.0","PFKFB3","mRNA",0,"","","Metabolic Stress;Hypoxia","hsa00051;hsa04066;hsa04152","","PFKFB3","PFKFB3 - mRNA","False"
"LAMA1 - mRNA","NM_005559.3:9002","NS_IO_360_V1.0","LAMA1","mRNA",0,"","","PI3K-Akt;Matrix Remodeling and Metastasis","hsa04151;hsa04510;hsa04512;hsa05145;hsa05146;hsa05200;hsa05222","","LAMA1","LAMA1 - mRNA","False"
"PFKM - mRNA","NM_000289.5:2672","NS_IO_360_V1.0","PFKM","mRNA",0,"","","Metabolic Stress","hsa00010;hsa00051;hsa04152;hsa05230","","PFKM","PFKM - mRNA","False"
"RPS6KB1 - mRNA","NM_001272042.1:2451","NS_IO_360_V1.0","RPS6KB1","mRNA",0,"","","TGF-beta Signaling;PI3K-Akt;Metabolic Stress;Hypoxia;Autophagy","hsa04012;hsa04066;hsa04150;hsa04151;hsa04152;hsa04211;hsa04213;hsa04350;hsa04666;hsa04910;hsa04931;hsa05205;hsa05221;hsa05231","","RPS6KB1","RPS6KB1 - mRNA","False"
"TTC30A - mRNA","NM_152275.3:2492","NS_IO_360_V1.0","TTC30A","mRNA",0,"","","","","","TTC30A","TTC30A - mRNA","False"
"BBC3 - mRNA","NM_014417.4:1310","NS_IO_360_V1.0","BBC3","mRNA",0,"","","Cytotoxicity;Apoptosis","hsa04115;hsa04390;hsa05016;hsa05162","","BBC3","BBC3 - mRNA","False"
"MAML2 - mRNA","NM_032427.1:4125","NS_IO_360_V1.0","MAML2","mRNA",0,"","","Notch Signaling","hsa04330","","MAML2","MAML2 - mRNA","False"
