"cell type scores - log2"
"","Macrophages","Exhausted CD8","B-cells","CD45","Neutrophils","T-cells","NK CD56dim cells","Mast cells","Th1 cells"
"20210108_P0090_D3_NMC2_30ugml(1).RCC",7.32051522123804,7.61002183843302,7.78285847198025,6.95794514185333,7.32866210396597,7.383251024979,8.10715452938303,7.95794514185333,7.41362470516831
"20210108_P0090_D3_NMC2_30ugml(2).RCC",7.15031719651318,7.71968272428761,7.32540387434484,6.44404830977115,7.20120998112511,6.58843821121584,8.03926163574717,8.7196827242876,7.07876388556976
"20210108_P0090_D3_NMC2_100ugml(1).RCC",7.02671237755199,7.77252883245642,7.447288082628,6.78570418953391,7.56211017679609,6.98162450909827,8.39163504699604,8.29896521757167,7.64820077366075
"20210108_P0090_D3_NMC2_100ugml(2).RCC",7.96000882685923,7.43805614000572,7.19704807226724,7.24011671810478,7.10384144234407,7.61208557400411,7.22242953337575,8.21874295464854,7.93401357597794
"20210112_30102534301221-01_P0090-10 D3 NMC2 30ug]mL_01.RCC",7.2551471728932,7.46159809946961,7.94702492430133,6.13966999639742,7.75086619336336,6.87663543914425,7.92036692881087,8.07826940547118,7.72463240162888
"20210112_30102534301221-01_P0090-11 D3 NMC2 100ug]mL_02.RCC",7.05431846916995,8.23489064872653,7.90231530697922,7.46935601729441,6.96210616296109,7.67098984660823,7.52820348029217,8.10162420915895,7.39535539728831
"20210112_30102534301221-01_P0090-12 D3 IFNy 100ng]mL_03.RCC",7.86970839068429,7.64731579766713,7.06235335451556,6.64731579047093,7.62009202944438,7.47739080791864,7.23128822739075,7.06235335451556,7.47739080791864
"20210112_30102534301221-01_P0091-1 D0 media_04.RCC",8.13153751101921,6.78361426044629,6.64611061491351,6.90914506396057,7.27762783943704,7.78361426044629,7.2148624376799,6.64611061491351,8.18216351366361
"20210112_30102534301221-01_P0091-1 D3 IgG1 100ug]mL_07.RCC",6.86103700339678,8.04546155914493,7.98656772879542,7.20896020132605,5.88566619656499,7.79392265329085,8.3282601250816,8.30849582482043,8.30849582482043
"20210112_30102534301221-01_P0091-2 D0 media_05.RCC",8.55774414114803,7.05078412502363,7.2622881535543,7.2622881535543,5.70175202118538,7.2622881535543,6.59533791782015,7.05078412502363,7.12478472659764
"20210112_30102534301221-01_P0091-2 D3 NMC2 30ug]mL_08.RCC",8.58643518002985,7.34436038828458,6.92932280318771,6.39880813515202,7.07291112437095,6.22888326408076,7.87286759670021,7.37184111013381,7.28777690927837
"20210112_30102534301221-01_P0091-3 D0 media_06.RCC",7.774116037204,1.72672268392744,1.72672268392744,6.77411603061328,6.48163480991091,6.18915358920855,4.68765396476005,1.72672268392744,7.5110817117769
"20210112_30102534301221-01_P0091-3 D3 NMC2 100ug]mL_09.RCC",7.80602984882918,7.71856705512193,8.11088437939939,7.17799854299741,7.20720696316367,7.80602984882918,8.01104828721737,7.52592195956672,8.11088437939939
"20210112_30102534301221-01_P0091-4 D3 IFNy 100ng]mL_10.RCC",8.46134929599828,6.60720013979214,6.60720013979214,6.81365106066764,7.5211697830537,7.43032237706466,7.54946152029181,7.1546878759018,6.60720013979214
"20210112_30102534301221-01_P0091-5 D3 IgG1 100ug]mL_11.RCC",7.62203796365879,6.03707552884819,6.95461327043656,6.18907861130815,7.06759023836441,6.45211301714194,7.76435846963621,6.95461327043656,7.72513135813585
"20210112_30102534301221-01_P0091-6 D3 NMC2 30ug]mL_12.RCC",7.9151602655762,7.76831882665698,6.54592635679403,6.28289202198539,7.18862742940609,6.86785446712164,7.50734243603449,7.48452582757014,7.76831882665698
"20210113_30102534541221-01_P0091-7 LUNG D3 NMC2 100ug.ml_07.RCC",3.89990153342207,8.2111232151913,8.2111232151913,7.87408823508811,5.80676254056206,8.79608566722914,6.24012928133814,8.38104820148769,8.48414176533172
"20210113_30102534541221-01_P0091-8 LUNG D3 IFNy 100ng.ml_08.RCC",4.65347160813647,8.92430437471424,8.25445299678851,7.70191198604289,6.47017301049581,8.40973120230871,6.43737890274092,8.04294882620067,8.18733877955819
"20210113_30102534541221-01_P0091-9 LUNG D3 IgG1 100ug.ml_09.RCC",4.99184601639063,8.83176784132374,8.54226107214794,8.42296223865443,6.36337614854474,8.67350577048507,6.55570808209175,7.99124597867783,7.95729869332807
"20210113_30102534541221-01_P0091-10 LUNG D3 NMC2 30ug.ml_10.RCC",5.4308195266067,8.51798145281523,8.44101942425882,8.05854984844434,6.5869337234938,8.74304792374799,6.74468468752552,7.71062642646526,8.03255462328365
"20210113_30102534541221-01_P0091-11 LUNG D3 NMC2 100ug.ml_11.RCC",7.84743514174147,7.71250548538029,7.92272321585363,7.36200827698641,7.53371219068417,7.65479006290419,8.1736198890304,7.87297015395339,7.92272321585363
"20210113_30102534541221-01_P0091-12 LUNG D3 IFNy 100ng.ml_12.RCC",7.44619950538052,7.49963887339067,7.49963887339067,6.80574189912376,7.18696599389224,7.27286794878665,8.06327806215376,7.64901644384771,7.76267319286292
